revelation_ref,canonical_source_refs,initial_relation,review_status,notes
Revelation 10:6,Genesis 1:1; Deuteronomy 32:40; Nehemiah 9:6; Daniel 12:7,candidate-reuse,awaiting-original-language-verification,Corrected impossible Daniel 12:17 candidate to Daniel 12:7.
Revelation 10:7,Amos 3:7,candidate-reuse,awaiting-original-language-verification,
Revelation 10:9,Jeremiah 15:16; Ezekiel 2:8-3:3,candidate-reuse,awaiting-original-language-verification,Corrected impossible Ezekiel 2:8-33 range to Ezekiel 2:8-3:3.
Revelation 10:11,Jeremiah 1:10; Daniel 7:14,candidate-reuse,awaiting-original-language-verification,"Uses stronger canonical wording candidates for peoples, nations, languages, and kings."
Revelation 11:1,Ezekiel 40:3-4; Zechariah 2:1-2,candidate-reuse,awaiting-original-language-verification,
Revelation 11:2,Ezekiel 40:17-20,candidate-reuse,awaiting-original-language-verification,
Revelation 11:4,"Zechariah 4:1-3,11-14",candidate-reuse,awaiting-original-language-verification,
Revelation 11:5,Numbers 16:35; 2 Kings 1:10-12,candidate-reuse,awaiting-original-language-verification,
Revelation 11:6,Exodus 7:19-25; 1 Kings 17:1,candidate-reuse,awaiting-original-language-verification,
Revelation 11:7,"Daniel 7:3,7,21",candidate-reuse,awaiting-original-language-verification,
Revelation 11:8,Isaiah 1:9-10; Isaiah 3:9; Jeremiah 23:14; Ezekiel 16:49; Ezekiel 23:3,8,19,27,candidate-reuse,awaiting-original-language-verification,
Revelation 11:9,Psalm 79:2-3,candidate-reuse,awaiting-original-language-verification,
Revelation 11:11,Ezekiel 37:9-10,candidate-reuse,awaiting-original-language-verification,
Revelation 11:15,"Exodus 15:18; Daniel 2:44-45; Daniel 7:13-14,27",candidate-reuse,awaiting-original-language-verification,
Revelation 11:18,Psalm 2:1-3; Psalm 46:6; Psalm 115:13,candidate-reuse,awaiting-original-language-verification,
Revelation 12:1,Genesis 37:9-11,candidate-reuse,awaiting-original-language-verification,
Revelation 12:2,Isaiah 26:17; Isaiah 66:7; Micah 4:9-10,candidate-reuse,awaiting-original-language-verification,
Revelation 12:3,"Isaiah 27:1; Daniel 7:7,20,24",candidate-reuse,awaiting-original-language-verification,
Revelation 12:4,Daniel 8:10,candidate-reuse,awaiting-original-language-verification,
Revelation 12:5,Psalm 2:8-9; Isaiah 66:7,candidate-reuse,awaiting-original-language-verification,
Revelation 12:7,"Daniel 10:13,21; Daniel 12:1",candidate-reuse,awaiting-original-language-verification,
Revelation 12:9,Genesis 3:1; Job 1:6; Job 2:1; Zechariah 3:1,candidate-reuse,awaiting-original-language-verification,
